key,frequency,latitude,longitude,name
1000001,122,42.284495,-101.123047,North America
1000003,4067,56.2,15.016,"europe,"
1000074,250,39,22,"Ellas,Europe"
1000097,84,62,15,"Sverige,Europe"
1000111,705,35,105,zhonghua
1002235,419,38.0333,-77.35,"Port Royal, Beaufort, South Carolina"
1002257,145,37.3667,-77.0667,"Charles City, Virginia, United States"
1002267,495,37.3833,-77.6,"Chesterfield, Virginia, United States"
1002368,432,38.7333,-77.8167,"fauquier, virginia, united states"
1002451,978,37.75,-77.4833,"Hanover county, Virginia"
1002467,2830,37.55,-77.3667,"henrico, virginia"
1002506,30,0,0,"Isle of Wight, Virginia, United States"
1010697,3,25.65,-80.15,Tennessee
1122759,104,37.7,-77.6167,"Chickahominy, Virginia, United States"
1123695,46,36.8333,-76.2833,"elizabeth, virginia, united states"
1125392,388,38.15,-81.1833,"Richmond, Richmond, Virginia"
1127241,17,31.1333,-87.9333,"Mobile, Alabama, United States"
2000044,9,34.7333,-86.5667,"Madison, Alabama, United States"
2000780,4,36.8833,-87.4833,"Christian, Kentucky, United States"
2002139,205,37.35,-78.0167,"Amelia, Virginia, United States"
2002140,69,37.6167,-79.25,"Lynchburg, Lynchburg, Virginia"
2002173,56,36.7,-78.35,"Mecklenburg, Virginia, United States"
2002180,244,36.8167,-79.4,"pittsylvania, virginia, united states"
2002187,113,38.5167,-78.8833,"Kanawha, West Virginia, United States"
2002191,82,36.85,-81.5167,"smyth, virginia, united states"
2002256,34,38.7167,-80.7,Braxton Court House
2002262,20,38.9333,-80.85,"Wirt, West Virginia, United States"
2002264,100,37.95,-80.4167,"Frankfort, Franklin, Kentucky"
2002270,80,38.3333,-81.5667,Wheeling Coupons
2002300,4,38.5167,-80.4167,"Webster, West Virginia, United States"
2002302,29,39.0333,-81.35,"Amherst, Virginia, United States"
2003487,5,33.6833,-87.8167,"Fayette, Fayette, Alabama"
2005546,74,33.2,-87.5667,"tuscaloosa, tuscaloosa, alabama"
2008520,33,34.1,-93.2333,"hollywood, clark, arkansas"
2039071,60,36.9833,-85.9,"Liverpool, Liverpool, England"
2040037,198,38.1,-82.6,"Louisa, Lawrence, Kentucky"
2049378,23,42.4833,-71.2667,"Bedford, Middlesex, Massachusetts"
2072808,1,42.8333,-76.6833,"Union Springs, Cayuga, New York"
2075820,33,36.4333,-77.0833,"Murfreesboro, Hertford, North Carolina"
2077124,241,36.4167,-77.5833,"Weldon, Halifax, North Carolina"
2078243,15,41.1667,-84.7333,"antwerp, paulding, ohio"
2080432,492,39.8833,-83.4333,"London, Madison, Ohio"
2094200,4,40.2833,-74.8667,"Washington Crossing, Bucks, Pennsylvania"
2096511,456,32.3667,-80.6833,"Gilmer, West Virginia, United States"
2100914,153,36.3,-88.3167,"Paris, Henry, Tennessee"
2101962,4,35.7167,-86.5333,Fine Art Gallery
2110477,500,37.75,-77.4667,"Ashland, Hanover, Virginia"
2110855,48,37.7333,-79.35,"Buena Vista, Buena Vista, Virginia"
2111055,233,37.3333,-77.0667,"Charles City, Charles City, Virginia"
2111165,439,37.3667,-77.5,"Chesterfield, Chesterfield, Virginia"
2111847,101,36.6667,-76.9167,"Franklin, Franklin, Virginia"
2112147,720,37.75,-77.3667,"Hanover, Hanover, Virginia"
2112170,197,38.4333,-78.8667,"Virginia, United States, North and Central America"
2112596,3,37.6,-76.9667,"Lanesville, King William, Virginia"
2112906,50,36.8333,-81.5,"Marion, Smyth, Virginia"
2113061,132,38.4,-79.5667,"Monterey, Highland, Virginia"
2113139,31,36.8667,-78.7833,"Mount Laurel, Halifax, Virginia"
2113592,2,37.55,-79.25,"Pedlar Mills, Amherst, Virginia"
2114316,200,38.2,-77.5833,"Spotsylvania, Spotsylvania, Virginia"
2114999,779,37.5167,-76.7833,"West Point, King William, Virginia"
2240477,736,37.3167,-77.2667,"City Point, Virginia, Virginia"
2294949,34,36.65,-82.8167,"Drakes Branch, Scott, Virginia"
2478598,83,41.1667,-84.05,"Madeira, Putnam, Ohio"
2533234,3,38.15,-77.7833,"Music Branch, Spotsylvania, Virginia"
2539685,4,40.8333,-119.5167,"New Spring, Washoe, Nevada"
2575436,1,38.5333,-78.2333,"Peola Mills, Rappahannock, Virginia"
2672203,9,40.7667,-72.8167,"smiths point, suffolk, new york"
2769759,12,31.8167,-81.3667,"Isle of Wight, Liberty, Georgia"
6002055,942,36.5,-88,"fort henry, stewart, tennessee"
7001181,513,53.333333,-8,eire
7002435,800,60,47,rossiya
7002659,2075,33,-87,"Norfolk, Norfolk, Virginia"
7003121,61,40,9,sardegna
7005426,2,-23.9333,-46.3667,Rio
7005554,17,15,-86.5,honduras
7005562,45,13,-85,nicaragua
7005799,34,46.5,-66.75,New Brunswick
7007157,667,37,-119,California
7007159,353,41.8333,-72.8333,connecticut
7007168,10,51.898611,-8.495833,"Cork,Cork,Munster,Eire,Europe"
7007239,399,39,-75.6667,Delaware
7007240,1149,28,-82,Florida
7007248,3547,32,-84,Georgia
7007252,739,40,-86,Indiana
7007253,223,42,-93,Iowa
7007255,4228,37,-85,Kentucky
7007256,1853,31,-92,Louisiana
7007516,3868,39,-76.8333,Maryland
7007517,919,42.25,-71.8333,Massachusetts
7007522,2037,32.712,-89.653,Alabama
7007523,2618,38,-98,Missouri
7007525,61,41.5,-100,Nebraska
7007565,657,40,-75,New Jersey
7007706,1569,40,-80.8333,Ohio
7007709,3977,35.5,-80,North Carolina
7007710,1465,40.8333,-76,Pennsylvania
7007712,3590,34,-80,South Carolina
7007825,4456,35.5,-85,Tennessee
7007919,18039,37,-80,"Richmond, Richmond, Virginia"
7010597,1203,53.416667,-3,"Liverpool, Liverpool, England"
7012149,19502,38,-98,United States
7013051,108,45.5,-73.6,"Cape Florida, Dade, Florida"
7013269,1788,38.8,-77.0333,"Alexandria, Alexandria, Virginia"
7013342,3,32.6,-85.4667,"Auburn, Lee, Alabama"
7013343,15,42.9167,-76.55,"Auburn, Cayuga, New York"
7013352,3983,39.2833,-76.6,"Baltimore, Baltimore Independent City, Maryland"
7013445,1471,42.35,-71.05,"Boston, Suffolk, Massachusetts"
7013582,6883,32.7667,-79.9167,"Norfolk, Norfolk, Virginia"
7013585,636,38.0167,-78.4667,"charlottesville, charlottesville, virginia"
7013604,912,39.15,-84.45,Fine Mountain
7013928,859,32.3667,-86.3,"charleston, charleston, south carolina"
7013939,228,38.2,-84.8667,"Weldon, Halifax, North Carolina"
7013943,2575,38.3,-77.45,"Fredericksburg, Fredericksburg, Virginia"
7013962,9632,38.8833,-77.0333,"Washington, District of Columbia, United States"
7013964,32330,37.55,-77.45,"Virginia, United States, North and Central America"
7013981,1984,37.4,-79.1333,"Lynchburg, Lynchburg, Virginia"
7014231,3613,36.8333,-76.2833,"Norfolk, Norfolk, Virginia"
7014292,197,35.05,-78.8667,"Fayetteville, Cumberland, North Carolina"
7014348,69,43.15,-77.6,Flora Temple
7014406,2264,39.95,-75.15,"Philadelphia, Philadelphia, Pennsylvania"
7014444,1182,38.6167,-90.1833,"Saint Louis, Saint Louis City, Missouri"
7014456,326,37.7667,-122.4167,"San Francisco, San Francisco, California"
7014487,1829,32.0833,-81.1,"Savannah, Chatham, Georgia"
7014632,81,39.7333,-75.5333,"Wilmington, New Castle, Delaware"
7016172,1217,35,-93,Mississippi
7016845,77,52.5,5.75,"Nederland, Europe, "
7017444,1945,30.6833,-88.0333,"Mobile, Mobile, Alabama"
7017624,65,37.8,-77.4,Tappahannock-River
7017750,1435,35.1333,-90.0333,"Memphis, Shelby, Tennessee"
7021610,524,30.3167,-87.2833,"Montgomery, Montgomery, Alabama"
7022231,566,47.2333,-95.2,Mississippi River
